Cve_Entidad,Desc_Entidad,Cve_Municipio,Desc_municipio,Tema_nivel_1,Tema_nivel_2,Tema_nivel_3,Id_Indicador,Indicador,1895,1900,1910,1921,1930,1940,1950,1952,1960,1970,1971,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,UnidadMedida
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000653,Averiguaciones previas determinadas por las procuradurías y fiscalías generales de justicia (con no ejercicio de la acción penal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29029,7029,71513,5790,6815,,Averiguaciones previas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000654,Averiguaciones previas determinadas por las procuradurías y fiscalías generales de justicia (en reserva),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34691,12153,25669,7861,3965,,Averiguaciones previas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000655,Averiguaciones previas determinadas por las procuradurías y fiscalías generales de justicia (otro tipo de determinación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2439,0,0,,Averiguaciones previas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000656,Carpetas de investigación determinadas por las procuradurías generales de justicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3868,39998,57155,28114,,,Número
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000657,Carpetas de investigación determinadas por las procuradurías y fiscalías generales de justicia (con inicio de la investigación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,0,13521,3309,2533,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000658,Carpetas de investigación determinadas por las procuradurías y fiscalías generales de justicia (con no inicio de la investigación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1190,183,304,5694,8303,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000659,Carpetas de investigación determinadas por las procuradurías y fiscalías generales de justicia (con principio de oportunidad),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389,12619,14512,834,1431,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000660,Carpetas de investigación determinadas por las procuradurías y fiscalías generales de justicia (con archivo temporal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082,20591,27921,18277,13986,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000661,Carpetas de investigación determinadas por las procuradurías y fiscalías generales de justicia (con otro tipo de determinación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6605,897,0,0,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000705,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,39998,801,2017,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000706,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con formulación de acusación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,412,548,2010,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000707,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con otro tipo de cierre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,39548,0,0,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000708,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con salida alternativa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,0,7,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000709,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con sobreseimiento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,16,253,0,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000710,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con suspensión),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,0,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000753,Averiguaciones previas pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (otra),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Averiguaciones previas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000755,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10119,34998,,7875,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000756,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (en archivo temporal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2082,20591,,0,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000757,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (en proceso de integración con otro estatus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000758,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (en proceso de integración),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8032,14407,,7875,10752,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000759,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (en suspensión),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,,0,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000760,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (no especificado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000804,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2791,2722,409,2287,1966,,Averiguaciones previas e investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000805,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes (sin especificar la presentación o no del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,409,0,,,Averiguaciones previas e investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000806,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes (con presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530,,1327,,,Averiguaciones previas e investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000807,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes (sin presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1192,,960,,,Averiguaciones previas e investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000850,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2567,,1675,1166,,,Averiguaciones previas e investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000851,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (con improcedencia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82,,1129,348,252,,Averiguaciones previas e investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000852,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (con otro tipo de determinación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,0,0,0,,Averiguaciones previas e investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000853,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (con procedencia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502,,349,684,580,,Averiguaciones previas e investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000854,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (en archivo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143,,197,134,54,,Averiguaciones previas e investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000898,Investigaciones cerradas por los ministerios públicos especializados en adolescentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,Investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000899,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (conciliación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,Investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000900,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (formulación de acusación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,Investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000901,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (otro tipo de cierre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,Investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000902,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (sobreseimiento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,Investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000903,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (suspensión),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,Investigaciones
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009545,Porcentaje de resolución en averiguaciones previas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.9310059563203,38.1517782133856,204.498412743605,30.7902495146329,,,Porcentaje de averiguaciones previas determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009548,Porcentaje de resolución en averiguaciones previas para extorsión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.8181818181818,46.0869565217391,90.5775075987842,12.0996441281139,,,Porcentaje de averiguaciones previas determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009550,Porcentaje de resolución en averiguaciones previas para secuestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.9295774647887,2.63157894736842,124.137931034483,10.3448275862069,,,Porcentaje de averiguaciones previas determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009551,Porcentaje de resolución en averiguaciones previas para homicidio doloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6629491945477,,,,,,Porcentaje de averiguaciones previas determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009552,Porcentaje de resolución en averiguaciones previas para robo con violencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.373669590187,,,,,,Porcentaje de averiguaciones previas determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009553,Porcentaje de resolución en averiguaciones previas para violación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.722371967655,41.4209115281501,77.4509803921569,21.2990936555891,,,Porcentaje de averiguaciones previas determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009554,Porcentaje de resolución en carpetas de investigación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.5042016806723,95.9437741370625,150.305054436438,81.5040296863223,,,Porcentaje de carpetas de investigación determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009555,Porcentaje de resolución en carpetas de investigación para secuestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,80,800,100,,,Porcentaje de carpetas de investigación determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009557,Porcentaje de resolución en carpetas de investigación para extorsión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77358490566038,55.2,154.794520547945,19.1176470588235,,,Porcentaje de carpetas de investigación determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009558,Porcentaje de resolución en carpetas de investigación para robo con violencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.20742150333016,,,,,,Porcentaje de carpetas de investigación determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009559,Porcentaje de resolución en carpetas de investigación para violación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.4285714285714,24.8803827751196,78.0082987551867,50,,,Porcentaje de carpetas de investigación determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009560,Porcentaje de resolución en carpetas de investigación para homicidio doloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4615384615385,,,,,,Porcentaje de carpetas de investigación determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009562,Porcentaje de resolución en investigaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.9742027946972,,409.535452322738,50.9838216003498,,,Porcentaje de investigaciones determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009563,Porcentaje de resolución en investigaciones para secuestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,0,,,Porcentaje de investigaciones determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009564,Porcentaje de resolución en investigaciones para violación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1428571428571,,1300,36.3636363636364,,,Porcentaje de investigaciones determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009565,Porcentaje de resolución en investigaciones para homicidio doloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.3333333333333,,,66.6666666666667,,,Porcentaje de investigaciones determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009566,Porcentaje de resolución en investigaciones para robo con violencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.2298136645963,,,0,,,Porcentaje de investigaciones determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009567,Porcentaje de resolución en investigaciones para extorsión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,50,,,Porcentaje de investigaciones determinadas
02,Baja California,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200029617,Averiguaciones previas pendientes en las procuradurías generales de justicia al cierre del año,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75193,56325,,48517,,,Número
