Cve_Entidad,Desc_Entidad,Cve_Municipio,Desc_municipio,Tema_nivel_1,Tema_nivel_2,Tema_nivel_3,Id_Indicador,Indicador,1895,1900,1910,1921,1930,1940,1950,1952,1960,1970,1971,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,UnidadMedida
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000661,Carpetas de investigación determinadas por las procuradurías y fiscalías generales de justicia (con otro tipo de determinación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000705,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000706,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con formulación de acusación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000707,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con otro tipo de cierre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000708,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con salida alternativa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000709,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con sobreseimiento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000710,Carpetas de investigación cerradas por las procuradurías y fiscalías generales de justicia (con suspensión),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000753,Averiguaciones previas pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (otra),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Averiguaciones previas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000755,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000756,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (en archivo temporal),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000757,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (en proceso de integración con otro estatus),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000758,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (en proceso de integración),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000759,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (en suspensión),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000760,Carpetas de investigación pendientes en las procuradurías y fiscalías generales de justicia al cierre del año (no especificado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,Carpetas de investigación
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000804,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,498,187,158,159,115,,Averiguaciones previas e investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000805,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes (sin especificar la presentación o no del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,Averiguaciones previas e investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000806,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes (con presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,143,130,,,Averiguaciones previas e investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000807,Averiguaciones previas iniciadas e investigaciones abiertas por los ministerios públicos especializados en adolescentes (sin presentación del probable responsable),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,15,29,,,Averiguaciones previas e investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000850,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,109,145,159,,,Averiguaciones previas e investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000851,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (con improcedencia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,31,0,0,0,,Averiguaciones previas e investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000852,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (con otro tipo de determinación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,0,97,119,0,,Averiguaciones previas e investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000853,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (con procedencia),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,22,24,63,,Averiguaciones previas e investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000854,Averiguaciones previas e investigaciones determinadas por los ministerios públicos especializados en adolescentes (en archivo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,38,26,16,0,,Averiguaciones previas e investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000898,Investigaciones cerradas por los ministerios públicos especializados en adolescentes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229,79,119,83,,,Investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000899,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (conciliación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,37,69,64,,,Investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000900,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (formulación de acusación),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,40,22,0,,,Investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000901,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (otro tipo de cierre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0,0,0,,,Investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000902,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (sobreseimiento),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,2,28,19,,,Investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200000903,Investigaciones cerradas por los ministerios públicos especializados en adolescentes (suspensión),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,Investigaciones
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009545,Porcentaje de resolución en averiguaciones previas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.4868549172347,86.5755627009646,,,,,Porcentaje de averiguaciones previas determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009548,Porcentaje de resolución en averiguaciones previas para extorsión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porcentaje de averiguaciones previas determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009550,Porcentaje de resolución en averiguaciones previas para secuestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.3333333333333,100,,,,,Porcentaje de averiguaciones previas determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009551,Porcentaje de resolución en averiguaciones previas para homicidio doloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,Porcentaje de averiguaciones previas determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009552,Porcentaje de resolución en averiguaciones previas para robo con violencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0033500837521,,,,,,Porcentaje de averiguaciones previas determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009553,Porcentaje de resolución en averiguaciones previas para violación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.962962962963,37.9746835443038,,,,,Porcentaje de averiguaciones previas determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009554,Porcentaje de resolución en carpetas de investigación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Porcentaje de carpetas de investigación determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009555,Porcentaje de resolución en carpetas de investigación para secuestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Porcentaje de carpetas de investigación determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009557,Porcentaje de resolución en carpetas de investigación para extorsión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Porcentaje de carpetas de investigación determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009558,Porcentaje de resolución en carpetas de investigación para robo con violencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Porcentaje de carpetas de investigación determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009559,Porcentaje de resolución en carpetas de investigación para violación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Porcentaje de carpetas de investigación determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009560,Porcentaje de resolución en carpetas de investigación para homicidio doloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Porcentaje de carpetas de investigación determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009562,Porcentaje de resolución en investigaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3815261044177,58.2887700534759,91.7721518987342,100,,,Porcentaje de investigaciones determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009563,Porcentaje de resolución en investigaciones para secuestro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,100,0,,,Porcentaje de investigaciones determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009564,Porcentaje de resolución en investigaciones para violación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.75,65.2173913043478,100,100,,,Porcentaje de investigaciones determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009565,Porcentaje de resolución en investigaciones para homicidio doloso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,100,100,0,,,Porcentaje de investigaciones determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009566,Porcentaje de resolución en investigaciones para robo con violencia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.82352941176471,20,100,100,,,Porcentaje de investigaciones determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200009567,Porcentaje de resolución en investigaciones para extorsión,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,Porcentaje de investigaciones determinadas
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200029617,Averiguaciones previas pendientes en las procuradurías generales de justicia al cierre del año,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,,,,,,Número
04,Campeche,000,Estatal,Seguridad pública y justicia,"Averiguaciones previas, carpetas de investigación e investigaciones","Averiguaciones previas, carpetas de investigación e investigaciones",6200030766,Carpetas de investigación determinadas por las procuradurías y fiscalías generales de justicia (no especificado),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,Carpetas de investigación
